CODE,SERVICE DESCRIPTION,,
1991,Anesthesia for nerve block and injection procedure,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1992,"Anesthesia for nerve block and injection procedure, prone position",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1996,Daily hospital management of continuous spinal drug administration,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1999,Anesthesia procedure,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
31500,"Intubation (Intravenous Anaesthesia) /LMA /Mask -- (Inhalational Anaesthesia)
 /Mechanical Ventilation",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
62320,Epidural Anesthesia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
62273,Epidural Patch,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64400,"Injection of anesthetic agent, trigeminal nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64402,"Injection of anesthetic agent, facial nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64405,"Injection of anesthetic agent, greater occipital nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64408,"Injection of anesthetic agent, cranial (vagus) nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64410,"Injection of anesthetic agent, upper spine (phrenic) nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64413,"Injection of anesthetic agent, neck nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64415,"Injection of anesthetic agent, brachial (arm) nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64416,"Injection by continuous infusion of anesthetic agent, brachial (arm) nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64417,Injection of anesthetic agent underarm (axillary) nerve,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64418,"Injection of anesthetic agent, collar bone nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
36556,Insertion of central venous catheter for infusion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
43753,NGT insertion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
76937,Intravenous placement USS Guided,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
99152,Sedation without Respiratory support - Above 5yrs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
99151,Sedation without Respiratory support - Under 5yrs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
96366,IV Side Injection,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
93503,Continuous invasive CVP monitoring,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
96368,Continuous Drug infusions -Inotropes/Vasoactive drugs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
92960,Defibrilation/Elective Cardioversion / Electrocardioversion (Resursitative Defibrillation procedure),Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
94660,Non Invasive mechanical ventilation (CPAP),Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
36620,Continuous invasive Arterial Blood Pressure (ABP) monitoring,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
530,Anesthesia for insertion of permanent heart pacemaker,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
534,Anesthesia for insertion or replace of pacing heart defibrillator,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
537,Anesthesia for procedure on heart to correct abnormal rhythm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
539,Anesthesia for reconstruction of windpipe and lung airway,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
540,Anesthesia for procedure in chest,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
541,Anesthesia for procedure in chest with 1 lung ventilation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
542,Anesthesia for removal of lung lining,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
546,Anesthesia for lung removal and chest wall repair,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
548,Anesthesia for procedure on windpipe and lung airway,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
550,Anesthesia for removal of breast bone tissue,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
560,Anesthesia for procedure on heart and great blood vessels,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
561,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, younger than 1 year of age",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
566,Anesthesia for heart artery bypass grafting,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
567,Anesthesia for heart artery bypass grafting on heart-lung machine,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
580,Anesthesia for heart or heart-lung transplant,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
882,Anesthesia for tying of major vein in lower abdomen,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1272,Anesthesia for groin artery bypass graft and tying of upper leg artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1274,Anesthesia for removal of groin artery blood clot,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1430,Anesthesia for procedure on knee veins,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1432,Anesthesia for repair of abnormal artery-vein formation of knee,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1440,Anesthesia for procedure on knee arteries,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1442,Anesthesia for removal of blood clot in artery behind knee,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1444,Anesthesia for repair of bulging (aneurysm) defect in knee artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1500,Anesthesia for procedure on arteries of lower leg including bypass graft,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1502,Anesthesia for lower leg artery bypass graft or blood clot removal,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1520,Anesthesia for procedure on veins of lower leg,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1522,Anesthesia for removal of lower leg vein obstruction,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1650,Anesthesia for procedure on arteries of shoulder and underarm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1652,Anesthesia for repair of bulging (aneurysm) defect in upper arm artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1654,Anesthesia for bypass graft in shoulder or underarm artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1656,Anesthesia for bypass graft from groin artery to shoulder or underarm artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1670,Anesthesia for procedure on veins of shoulder and underarm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1772,Anesthesia for removal of blood clot from upper arm or elbow artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1780,Anesthesia for procedure on veins of upper arm and elbow,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1782,Anesthesia for suture of upper arm or elbow vein,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1840,"Anesthesia for procedure on arteries of forearm, wrist, and hand",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1842,"Anesthesia for removal of blood clot from forearm, wrist, or hand artery",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1844,Anesthesia for placement or revision of blood flow shunt,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1850,"Anesthesia for procedure on veins of forearm, wrist, and hand",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1852,"Anesthesia for suture of forearm, wrist, or hand vein",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1920,Anesthesia for procedure on heart vessels and chambers,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1922,Anesthesia for X-ray or radiation therapy,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
100,Anesthesia for procedure on salivary gland with biopsy,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
102,Anesthesia for procedure to repair lip defect present at birth,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
103,Anesthesia for procedure on eyelid,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
104,Anesthesia for electric shock treatment,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
120,Anesthesia for biopsy of external middle and inner ear,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
124,Anesthesia for examination and biopsy of external middle and inner ear using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
126,Anesthesia for incision of ear drum,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
140,Anesthesia for procedure on eye,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
142,Anesthesia for lens surgery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
144,Anesthesia for procedure on eye for corneal transplant,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
145,Anesthesia for retinal surgery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
147,Anesthesia for procedure on eye for removal of iris,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
148,Anesthesia for eye examination using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
160,Anesthesia for procedure on nose and sinus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
162,Anesthesia for surgery of nose and sinus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
164,Anesthesia for soft tissue biopsy on nose and sinus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
170,Anesthesia for procedure on mouth including biopsy,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
172,Anesthesia for procedure on mouth to repair palate deformity,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
174,Anesthesia for procedure on throat for removal of tumor,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
176,Anesthesia for surgery on mouth,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
322,Anesthesia for needle biopsy of thyroid,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
326,"Anesthesia for procedure on voice box and windpipe, children younger than 1 year of age",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
350,Anesthesia for procedure on major blood vessels of neck,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
352,Anesthesia for tying procedure on major blood vessels of neck,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
400,"Anesthesia for procedure on skin of arms, legs, or trunk",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
402,Anesthesia for breast reconstruction,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
404,Anesthesia for removal of breast,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
406,Anesthesia for removal of breast and lymph nodes,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
410,Anesthesia for procedure to correct abnormal heart rhythm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
500,Anesthesia for procedure on esophagus,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
522,Anesthesia for closed needle biopsy of lung,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
528,Anesthesia for closed diagnostic examination of chest using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
625,Anesthesia for procedure on middle spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
702,Anesthesia for liver biopsy (accessed through the skin),Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
730,Anesthesia for procedure on upper rear abdominal wall,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
