CODE,SERVICE DESCRIPTION,Category,Department
33945,Cardiac Transplant,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33952,Insertion of Extracorporeal Membrane Oxygenation (ECMO),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33953,Extracorporeal Membrane Oxygenation (ECMO),Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33967,Insertion of Intra-Aortic Balloon Assist Device,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
33968,Removal of Intra-Aortic Balloon Assist Device,Cardiology services,PAEDIATRIC CARDIAC SURGERY (CONGENITAL)
34101,Embolectomy Great Artery on CPD,Cardiology services,VASCULAR SURGERY
34111,Embolectomy Great Artery,Cardiology services,VASCULAR SURGERY
34151,Embolectomy Arterial Peripheral,Cardiology services,VASCULAR SURGERY
34401,Embolectomy In Peripheral Veins,Cardiology services,VASCULAR SURGERY
34421,Embolectomy In Vena Cava,Cardiology services,VASCULAR SURGERY
34471,Embolectomy In Neck Vein,Cardiology services,VASCULAR SURGERY
34490,Embolectomy Underarm And Upper Chest Vein,Cardiology services,VASCULAR SURGERY
34502,Reconstruction of Vena Cava,Cardiology services,VASCULAR SURGERY
34520,Venous Stripping,Cardiology services,VASCULAR SURGERY
34800,Abdominal Aortic Aneurysm Repair with Prosthesis on CPD,Cardiology services,VASCULAR SURGERY
34802,Abdominal Aortic Aneurysm Repair without Prosthesis,Cardiology services,VASCULAR SURGERY
34813,Vasclar Surgery with Prosthesis - Thigh,Cardiology services,VASCULAR SURGERY
34820,Vasclar Surgery without Prosthesis - Thigh,Cardiology services,VASCULAR SURGERY
34821,Thoracic Aortic Aneurysm Stenting,Cardiology services,VASCULAR SURGERY
34825,Abdominal or Femoral Vascular Aneurysm Stenting,Cardiology services,VASCULAR SURGERY
34826,Abdominal Aortic Aneurysm Repair with Prosthesis,Cardiology services,VASCULAR SURGERY
34839,Aortic Baloon Therapy,Cardiology services,VASCULAR SURGERY
34900,Femoral Graft Placement,Cardiology services,VASCULAR SURGERY
35572,Harvest of Saphenous Vein,Cardiology services,VASCULAR SURGERY
35583,Peripheral Vascular Bypass Graft,Cardiology services,VASCULAR SURGERY
35901,Infected Graft Revision- Peripheral,Cardiology services,VASCULAR SURGERY
35907,Infected Graft Revision- Open Procedure,Cardiology services,VASCULAR SURGERY
36000,Venous Cannulation,Cardiology services,VASCULAR SURGERY
36002,Embolization,Cardiology services,VASCULAR SURGERY
36479,Laser Vascular Therapy,Cardiology services,VASCULAR SURGERY
36555,Central Venous Line,Cardiology services,VASCULAR SURGERY
36590,Removal of Peripheral Venous Catheter,Cardiology services,VASCULAR SURGERY
36569,Permanent Vascular Catheterazation,Cardiology services,VASCULAR SURGERY
36640,Arterial Line Insertion,Cardiology services,VASCULAR SURGERY
36818,Arteriovenous Fistular,Cardiology services,VASCULAR SURGERY
37200,Transcatheter Biopsy of Blood Vessel,Cardiology services,VASCULAR SURGERY
37237,Peripheral Vascular Stent Insertion,Cardiology services,VASCULAR SURGERY
37605,Major Vascular Ligation,Cardiology services,VASCULAR SURGERY
37607,Peripheral Arterio Venous Ligation,Cardiology services,VASCULAR SURGERY
37609,Vascular Biopsy and Ligation,Cardiology services,VASCULAR SURGERY
37722,Vascular Stripping,Cardiology services,VASCULAR SURGERY
37735,High Ligation and Stripping,Cardiology services,VASCULAR SURGERY
37765,Multiple Venoligation,Cardiology services,VASCULAR SURGERY
37780,Venoligation- Trauma,Cardiology services,VASCULAR SURGERY
37785,Venoligation- Varicose,Cardiology services,VASCULAR SURGERY
92920,Percutaneous Coronary Balloon Angioplasty,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92929,Percutaneous Coronary Stenting,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92941,Emergency Percutaneous Coronary Embolectomy and Stenting/Balloon,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92975,Intracoronary Thrombolytic Infusion with X-Ray,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92977,Intracoronary Thrombolytic Infusion,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92986,Percutaneous Aorta Valve Repair,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92987,Percutaneous Mitral Valve Repair,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92990,Percutaneous Pulmonary Valve Repair,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
92998,Percutenous Pulmonary Artery Balloon,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93005,Electrocardiogram (ECG),Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93015,Stress Test/ Trademill Test,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93017,Drug Induced Stress ECG,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93224,Holter Monitor 48hr,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93228,Holter Monitor 24hr,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93272,Cardiac Monitor-24hr,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93297,Pacemaker Interrogation,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93299,CRDT Interrogation,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93306,Advanced/Detailed Echo,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93307,Echo Cardiogram,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93308,Echo Follow up,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93312,Trans Esophageal Echo,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93350,Stress Echo,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93530,Diagnostic Coronary Catheterization,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
93784,Ambulatory Blood Pressure,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
95885,EMG Standard,Cardiology services,HIGHLY SPECIALISED CARDIAC PROCEDURE/TEST
