CODE,SERVICE DESCRIPTION,Category,Section
24515,Dcp Humeerus,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24675,EF Trans Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24685,Plating Olecranon,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24800,Arthrodesis-Elbow Joint,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
28341,Revision Surgery Right Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
20550,Injection Bursa,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
12006,SSG Arm,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24101,Excision Lateral Epicondyle,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24358,Lateral Epicondyle Excision Arthroscopically,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24359,Epicondyle Excision,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24360,Elbow Reconstrunction under C-Arm,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24579,T/Plate/Sign Nail Humerus,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24620,Closed Reduction Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24635,Open Reduction Elbow,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24640,Trans Elbow EF,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24900,Above Elbow Amputation,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
24920,Disarticulation-Elbow / Amputation-through Arm,Neurosurgical,HUMERUS (UPPER ARM AND ELBOW)
11603,"Incisional Bx Forearm, Humerus, Shoulder",Neurosurgical,FOREARM AND WRIST
20670,"Removal of K-Wire, Rush Rod, Screw, R/U, Humerus, Ankle, etc.",Neurosurgical,FOREARM AND WRIST
20690,EF Radius / Ulna / Tibia,Neurosurgical,FOREARM AND WRIST
20900,Bone Nibbling Radius / Tibia / Femur,Neurosurgical,FOREARM AND WRIST
25275,Repair-Hand Extensor / Flexor Tendon,Neurosurgical,FOREARM AND WRIST
25350,Co Distal Radius,Neurosurgical,FOREARM AND WRIST
25415,Revision ORIF Radius,Neurosurgical,FOREARM AND WRIST
25606,EF Extension Upper Limb,Neurosurgical,FOREARM AND WRIST
25607,Volar Plate Redius,Neurosurgical,FOREARM AND WRIST
25905,Amputation Forearm,Neurosurgical,FOREARM AND WRIST
25924,Disarticulation-Wrist,Neurosurgical,FOREARM AND WRIST
26055,Co and 1st and 2nd Proximal,Neurosurgical,FOREARM AND WRIST
64718,Darach Procedure Ulna,Neurosurgical,FOREARM AND WRIST
64719,Ulna Nerve Exploration,Neurosurgical,FOREARM AND WRIST
11043,Debridement And EF,Neurosurgical,FOREARM AND WRIST
24152,Bone Excision Radius,Neurosurgical,FOREARM AND WRIST
24164,Excision Radial Head,Neurosurgical,FOREARM AND WRIST
25111,Gandlion Excision Wrist,Neurosurgical,FOREARM AND WRIST
25112,Granuloma Excision,Neurosurgical,FOREARM AND WRIST
25320,Open Reduction Lunate,Neurosurgical,FOREARM AND WRIST
25355,Co Radius,Neurosurgical,FOREARM AND WRIST
25405,Decortication Radius,Neurosurgical,FOREARM AND WRIST
25574,EF Radius / Ulna,Neurosurgical,FOREARM AND WRIST
25600,Close Reduction MPI Open 1st,Neurosurgical,FOREARM AND WRIST
29805,DX Shoulder Arthroscopically,Neurosurgical,FOREARM AND WRIST
29824,Mumford Procedure,Neurosurgical,FOREARM AND WRIST
29826,ACJ Decompresion by Endoscopy,Neurosurgical,FOREARM AND WRIST
23470,HA Shoulder,Neurosurgical,FOREARM AND WRIST
23472,TSA Total Shoulder Arthroplasty,Neurosurgical,FOREARM AND WRIST
25635,Scaphoid Bone Reduction,Neurosurgical,HAND AND FINGER
25800,Arthrodesis-Wrist Joint,Neurosurgical,HAND AND FINGER
26350,Repair-Hand -Flexor (One / Two),Neurosurgical,HAND AND FINGER
26548,Bilateral Vollar Plate Both,Neurosurgical,HAND AND FINGER
26565,Corrective Osteatomy,Neurosurgical,HAND AND FINGER
26850,Arthrodesis 1st MCP Joint,Neurosurgical,HAND AND FINGER
26951,Flexor / Extensor Tendon Repair Hand,Neurosurgical,HAND AND FINGER
25071,Excision Biopsy Hand,Neurosurgical,HAND AND FINGER
25825,Lunate Excision,Neurosurgical,HAND AND FINGER
27640,Exostosis Removal R/U,Neurosurgical,HAND AND FINGER
64721,Bilateral Carpal Tunnel (Surgery),Neurosurgical,HAND AND FINGER
20240,"Bone Biopsy Pelvis, Femur, Tibia, Humerus etc.",Neurosurgical,PELVIC AND HIP JOINT
20245,Biopsy Acetabular,Neurosurgical,PELVIC AND HIP JOINT
27030,Arthrotomy Hip,Neurosurgical,PELVIC AND HIP JOINT
27052,Synovectomy BX Hip,Neurosurgical,PELVIC AND HIP JOINT
27125,HA,Neurosurgical,PELVIC AND HIP JOINT
27130,Cemented THR,Neurosurgical,PELVIC AND HIP JOINT
27134,Revision Total Hip,Neurosurgical,PELVIC AND HIP JOINT
27158,Acetabular Re-Construction,Neurosurgical,PELVIC AND HIP JOINT
27215,Plating Ilium,Neurosurgical,PELVIC AND HIP JOINT
27218,Plating Si Joint,Neurosurgical,PELVIC AND HIP JOINT
27236,Revision HA,Neurosurgical,PELVIC AND HIP JOINT
27266,Revision Hip Reduction and K,Neurosurgical,PELVIC AND HIP JOINT
27275,Closed Reduction Total Hip,Neurosurgical,PELVIC AND HIP JOINT
27280,Arthrodesis-Hip,Neurosurgical,PELVIC AND HIP JOINT
27295,Hip Disarticularion,Neurosurgical,PELVIC AND HIP JOINT
27360,Saucerization Hip Joint/Femur/Tibia/Humerus/R-U,Neurosurgical,PELVIC AND HIP JOINT
27442,Total-Knee Replacement,Neurosurgical,PELVIC AND HIP JOINT
11101,Excision of Bone Hip,Neurosurgical,PELVIC AND HIP JOINT
15110,Skin Grafting,Neurosurgical,PELVIC AND HIP JOINT
27217,Plating Pubis Symphisis,Neurosurgical,PELVIC AND HIP JOINT
27227,Symphysis Plate Acetabular,Neurosurgical,PELVIC AND HIP JOINT
27235,Hip Srew Under C Arm,Neurosurgical,PELVIC AND HIP JOINT
27253,Open Reduction EF Hip,Neurosurgical,PELVIC AND HIP JOINT
27137,THA Revison Femoral Compnent,Neurosurgical,PELVIC AND HIP JOINT
27138,THA Revison Acetabular Component,Neurosurgical,PELVIC AND HIP JOINT
27132,Conversional HA to THA,Neurosurgical,PELVIC AND HIP JOINT
27299,Pemberton Osteotomy,Neurosurgical,PELVIC AND HIP JOINT
27258,ORIF Congenital / Developmental or Pathological Hip Dislocation(Tenotomy),Neurosurgical,PELVIC AND HIP JOINT
27175,Treatment of Slipped Growth Plate at Upper thigh Bone,Neurosurgical,PELVIC AND HIP JOINT
11605,Biops And Grafting Femur,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
20270,Arthrotomy Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
20610,Skeletal-Traction,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
20650,Skin-Traction,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
20694,Cbp and Bone Graft,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
20838,Revision Amputation AKA,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27422,Repair-Knee Medial/Lateral Colateral Ligament,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
26605,Fracture Closed-Reduction,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27040,Synovial Biopsy Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27245,"Revision Plate, Sign Nail, Shc/Angled Plate Femur",Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27331,Arthrotomy of BX Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27334,Synovectomy Knee Joint,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27345,Bakers Cyst Excision Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27386,Quadriceps Tendon Repair,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27506,Antegrade / Retrograde Sign Nail Femur / Tibia / Humerus,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27507,Sign Nail Biopsy Femur,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27515,Condylar Butress Plate Femr,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27580,Arthrodesis- Knee/Ankle,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27590,Modular Transfemoral,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27964,Amputation Stump Femur,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
28035,Posterior Release of (Release of Nerve Between Tissue and Bone of Foot),Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29830,Diagnostics-Arthroscopy,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29850,Medial Collateal Ligament,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29873,Total Release-Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29875,Arthroscopy Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29882,Arthroscopy Reconstruction,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29887,Arthroscopy,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
11045,Debridement,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
15050,Skin Grafting Kneeand,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27244,DHS,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27248,Sign Nail Revision,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27310,Arthrotomy and Biopsy,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27420,Demedialiazation Patela,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27440,Total Knee Revision,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27445,Total Knee Replacement,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27450,Bilateral Co Both Femurs,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27508,ESIN Femur,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27511,Compression Screw Femur,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27513,"Co and Butress Plating, Pinning",Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
26520,Capsulloraphy Patella,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27524,TBW Patella,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27530,Trans Knee EF,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27598,Disarticulation-Knee,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27695,LCL Repair,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27724,Masquellete Technique,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27752,Fracture Closed-Reduction,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27758,Blade Plate CBP,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29880,Medial Meniscetomy,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29870,DX Arthroscopy,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29881,Arthroscipic meniscectomy / shaving,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29888,ACL Repair Arthroscopically,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29889,Pcl Repair Arthroscopically,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
27418,Medialization of Patella (ORIF),Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29877,Medialization of Patella (Arthroscopically ),Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
29999,MCL & ACL Repair Arthroscopically,Neurosurgical,FEMUR (HIGH REGION) AND KNEE JOINT
11042,Skin Graft Leg,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
15100,Soleus Flap Rotation,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
13122,Biopsy Leg,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
20201,Biopsy P/3Tibia and Trans,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
20692,"Ankle, Knee Spanning SD/ EF T/F",Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
20693,"EF/Hoffman Revision/Adjustment/ Tibia/Fibula,Femur",Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
22853,Double Butress Plate,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27536,T Plateau Fracture Revision,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27610,Joint Toilet Ankle,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27620,Arthrotomy Ankle,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27635,Anterior Bone Block Excion,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27650,Achiles Tendon Repair,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27696,Ankle Reconstruction (Repair of Disruption of Both Collateral Ligaments of Ankle),Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27700,Ankle Reconstraction,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27704,Angles Plate Removal,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27705,CO And EF Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27709,CO Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27722,Grafting Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27759,Bilateral Sign Nailing Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27825,Ex Fix T/F,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27827,Tibia Lengthening,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27860,Tripe Arthrodesis Ankle,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27870,Arthodresis Left Ankle,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27880,Modular Transtibial (BKA),Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27882,Above Knee Amputation (AKA),Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
11047,Sequstrectomy Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
11400,Excision Biopsy Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
11442,Demoid Cyst Excision,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
20680,Sign Nail Removal Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
24925,Stump Closure Leg,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
24930,Soft Tissue-Stamp Revision,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27535,Butress Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27599,Surgical Debridement Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27607,HTCO Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27826,Ex Fix Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27828,Butress Plate Distal,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27871,Decortication EF Tibia,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
27888,Disarticulation - Ankle,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
29906,Arthroscopiy of Ankle Joint,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
29907,Debridemen of Ankle Arthroscopically,Neurosurgical,LEG (TIBIA AND FIBULA) AND ANKLE JOINT
26538,Traction Skeletal(Adult),Neurosurgical,MINOR PROCEDURES
24538,Traction Skin (Children),Neurosurgical,MINOR PROCEDURES
23600,Distal Humeral Fracture Pop (Adults),Neurosurgical,MINOR PROCEDURES
29345,Above Knee Pop (Adult),Neurosurgical,MINOR PROCEDURES
29065,Above/Below Elbow Pop (Adult/Children),Neurosurgical,MINOR PROCEDURES
29325,Sarmieto Pop (Adults),Neurosurgical,MINOR PROCEDURES
29085,Below Elbow Pop (Children),Neurosurgical,MINOR PROCEDURES
29405,Below Knee Pop (Children/Adult),Neurosurgical,MINOR PROCEDURES
29450,Club Foot Pop (Children),Neurosurgical,MINOR PROCEDURES
29445,Contact/Cylinder Pop,Neurosurgical,MINOR PROCEDURES
29305,Sarmieto Pop (Children),Neurosurgical,MINOR PROCEDURES
